itemid,usernick,date,content,sellerid,seller,开店时间,卖家信誉,好评率
17019553913,d***4,2018/5/26 22:35,上图来看，有什么问题客服韩非都会耐心帮我们处理，配件什么的都可以,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,宝***酷,2018/5/26 22:20,不错，很值得购买，店家服务也好，赞一个！,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,飘***傅,2018/5/26 22:02,很划算，开机也快目前玩了撸啊撸很流畅，,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,帅***0,2018/5/26 21:54,子敬服务挺好的,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,t***6,2018/5/26 21:22,洛云客服不错,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,大***5,2018/5/26 20:57,很激动，包裹一到快递站 我就去自提了包裹很严实没有破损，中途遇到了点小问题，感谢小高客服！很细心指导，用了2填目前还没问题性能很好，有需要的亲 推荐这边购买。,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,z***隽,2018/5/26 20:52,不错很好,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,妞***笠,2018/5/26 20:09,不错不错不错不错不错。贝贝也不错,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,这***利,2018/5/26 19:29,主机还不错，云长还有子阳两个客服服务很好  尤其是云长态度很好，帮助解决了问题！性能还可以 用到现在也没出啥大问题！,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,s***i,2018/5/26 19:18,轩逸服务态度非常好，工作认真负责,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,史***帅,2018/5/26 19:11,小贝客服非常不错呢，有求必应，有问必答什么都会！,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,爱***6,2018/5/26 19:08,习惯性好评！子墨技术好。牛皮。下次再买吧，,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,东***啊,2018/5/26 19:04,这主机玩着不错，性价比也高，店家的服务也是很热情很有耐心，什么问题都能给你解决，每个售后的服务都是棒棒哒，子贵棒棒哒！子贵服务很满意。,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,呼***8,2018/5/26 19:00,目前用了半个月，开机很快，玩游戏很流畅，而且没有噪音。送的键盘鼠标也不错。另外谢谢客服笑笑，以后有什么问题再联系你们,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,e***0,2018/5/26 18:56,看评论不错，也入手了一台。非常好用，运行起来非常流畅。好评。,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,d***5,2018/5/26 18:47,很不错！服务态度特别好,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,吃***5,2018/5/26 18:34,还不错 挺喜欢的！,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,朱***9,2018/5/26 18:21,1111,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,王***闯,2018/5/26 18:09,很好,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,火***5,2018/5/26 17:30,客服子敬棒棒哒，有不理解的马上解释！主机性能好！,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
17019553913,我***淘,2018/5/26 17:26,公司用的  配置已经足够办公用了  用来做设计的   开机速度很快  暂时还没出现过什么问题  比较稳定  贝贝服务态度很好,1097280647,京天华盛官方旗舰店,2012/12/4,86876,1
